query_id,query,product_id,user_id,ori_rating,ori_review
6,"I need to get a dishwasher that is perfect for any need, whether it's for baby bottles or for use in an RV or apartment situation. It should clean dishes very well and use very little water. The dryer should also work as well as a full-size dishwasher.",B0CBFPGF44,AFY7A33USNS2342ITKVJF62KJVGA,5,Get this!! I looked for a while at these. This one is perfect for any need. If you wanna use it for baby bottles or I in a rv or apartment situation.  It cleans your dishes very well and uses very little water. The dryer works awesome as well. As good as my full size dish washer.
246,"I am looking for a necklace that features a turkey design. I want the metal to be sturdy and the enamel colors to look great. The detail on the turkey should be awesome. The necklace chain should also be sturdy and thicker than expected. I want a necklace that feels solid and doesn't feel like it's about to break. It would be great if the necklace comes with a nice velvet bag. Overall, I want a necklace that is perfect for a turkey lover like me.",B09925PBB9,AH636XJ2JZZMW4KUISGFDCGKCFZQ,5,"Love this turkey necklace! I love this necklace!  The metal is sturdy, and the enamel colors look great.  The detail on the turkey is awesome.  The necklace chain is sturdy and thicker than I expected, in a good way!  A lot of necklaces come with a chain that feels like it’s about to break, but this one feels solid.  The necklace came in a nice velvet bag.  Great necklace for a turkey lover!  We have turkeys, and we love them, so I’m very pleased with it."
251,I'm looking for a filter for my older humidifier. I'm really happy that I can find these filters and they work very well!,B08NSZ8PKH,AHQEWUDMZRSQZ3LF5PBWIOKAO5EA,5,Humidifier filter We have an older humidifier and I’m really happy that we are able to get these filters ! They work very well !
476,"I am looking for a great product that I can order for myself and also for my parents. However, I have a problem with my local post office not delivering to my home, even though it's supposed to be delivered to my doorstep.",B07NVJP82G,AFI2P7ESIRGKZGEYYMKG5NTO4RXQ,5,"Great product Great product, so good that I have ordered one for my parents. The only issue that I have is that my local post office will not deliver to my home, which I thought it was suppose to be delivered to my door step"
617,"I am looking for a product that is beautiful, well made, and durable. It should have a beautiful color and be able to protect our ceramic glass top from objects being set down from the microwave or used as a countertop. I would definitely buy it again.",B08ZHD696S,AE2VC26B6LGEBJNZWYKYVDXXYEYQ,5,Beautiful! Just what I wanted ! Beautiful color. Very well made and should last for years. I did not rate heat resistance because I do not put it on a hot stovetop. I let it cool completely before replacing. It is perfect to protect our ceramic glass top from glass plates or other objects being set down from the microwave or used as an extra counter top. Would definitely purchase again
974,"I'm looking for a part that costs around $30 and can potentially save me thousands of dollars. It should be easy to install since I don't want to spend more money on professional help. I was quoted $500 to fix my refrigerator, but I'm considering buying a new one instead. However, before making that decision, I want to try this part as a last attempt to save my fridge. It would be great if it can make my refrigerator work like new again.",B07B438LZV,AGIZ46HTIYC3JITNWTGDMSBGZJGA,5,A $30 part save due thousands Wasn’t hard to install at all. We was quoted $500 to fix it and decided that we would just buy a new refrigerator. My husband tried this as a last ditch effort to save our fridge and it worked like a charm. Back to working like new glad he gave it a try
1007,I need to find a brand of socks that are well made and comfortable. It's important that they provide good value for the price.,B0C4WSH5LC,AHE4BWRCKSIVQYSXFY3XI3NSALBA,5,great value great product can't say I like theese socks but I'm required to wear them and I find this brand well made and comfortable.
1016,I need a refrigerator water filter that works as expected and filters the water in my refrigerator.,B00ZYDX2G2,AGK524IYZ6DCI4G6FTHOGBLQQFNA,5,Works as expected Product was used as intended. It’s a refrigerator water filter! It’s filtering my refrigerator water.<br />Product works well.
1075,I need a cleanser that is a Cica product and works effectively without leaving my skin red. It should feel good on my skin.,B0B34GRFL2,AGPASDHI7YWM2WDB6CMWLRPC5NCA,5,cica products for the win! I love Cica products and this cleanser works so well ; doesn't leave my skin red. it feels good
1127,"I need an egg holder that is sturdy, easy to assemble, and can save space in my fridge. It should also provide easy access to the bottom rows. I don't mind if the plastic screws look a little cheap as long as they work well.",B0BN82NXNQ,AF3HT4TN6UORK5MVXVDTWFCZ5DOQ,5,"Nice Space Saver! This egg holder was fairly easy to put together and surprisingly sturdy!  It saves a lot more room in my fridge and easy access to the bottom rows.  The plastic screws felt and looked a little cheap, but they work perfectly!"
1208,I am looking for an item that can help keep the air in my room moist and prevent dried sinuses and nosebleeds. It would be great if the device also provides sufficient lighting for me to see at night without having to turn on another light.,B09KLKB83C,AFM7WQ5ZDX4UXHPIVY7P3HPU2NFQ,5,Great item I really like this item because it helps keep the air in my room moist so me and my daughter aren’t waking up with dried sinuses and or nose bleeds. The lighting in the device is just enough so that if my daughter wakes up in the middle of the night I don’t need to turn on another light so I can see what I’m doing.
1403,"I need to find a watch that is affordable, easy to maintain, and keeps perfect time. It should have a light that illuminates the face and be suitable for casual wear. However, I want to avoid watches that are difficult to adjust during time changes. The band should be durable and long-lasting. I don't understand why the price has increased so much since the last time I bought it.",B09TXZHKLG,AHQQNBRBDRTQEJSL7LNIEKZAFDPQ,5,"I've owned three of these watches...... Over the past 30 years, I've owned 4 of these watches. It's always been around/less than $10. Last one I bought was about 6 years ago and paid $8 (I see now it's under $17). Watches have always kept perfect time. I wear it as a leisure/work around the home/weekend watch (not a dress watch). The light still illuminates the face. My only beef is when the time changes (fall/behind & spring/ahead), it's a PITA to make the adjustments. It's not the easiest watch to do this with (especially when you lose the instruction sheet). What normally happens is the band wears out before the battery. Although, this last band is wearing well. If you want a cheap/simple/no maintenance watch, that keeps perfect time, buy this. Kudos to Casio who have kept this watch in inventory but shame on them for making it a bit more expensive to buy. No one can tell me the cost to make this watch has almost doubled, since I last bought it."
1452,I need a soap dish that can protect the contents of my shampoo bar from getting splashed with water. It should look cute and have a Zen-like design for my shower.,B0B86TKMP8,AHRLAUFAS46MRWM7HOFXPDRUUKLA,5,"Protects shampoo bar Unlike other soap dishes, this cute thing protects the contents from being splashed by water. Super smart and looks so Zen in my shower cut out"
